Sail No.,Name,T,N,QR1,QR2,QR3,QR4,QR5,QR6,FR7,FR8,FR9,FR10,FR11,FR12,QR1_blue,QR1_red,QR1_yellow,QR2_blue,QR2_red,QR2_yellow,QR3_blue,QR3_red,QR3_yellow,QR4_blue,QR4_red,QR4_yellow,QR5_blue,QR5_red,QR5_yellow,QR6_blue,QR6_red,QR6_yellow,FR7_gold,FR7_silver,FR7_bronze,FR8_gold,FR8_silver,FR8_bronze,FR9_gold,FR9_silver,FR9_bronze,FR10_gold,FR10_silver,FR10_bronze,FR11_gold,FR11_silver,FR11_bronze,FR12_gold,FR12_silver,FR12_bronze
AUS 199012,Tom Burton,131.0,59.0,2,21,4,4,3,4,8,2,5,13,14,51,2.0,,,21,,,,,4,,,4,,,3,,,4,8,,,2,,,5,,,13,,,14,,,51.0,,
AUS 199015,Matthew Wearn,106.0,63.0,13,7,3,1,2,1,19,18,30,1,6,5,,13.0,,,7,,,3,,,1,,2,,,1,,,19,,,18,,,30,,,1,,,6,,,5.0,,
NZL 214437,George Gautrey,160.0,69.0,2,2,3,7,4,53 UFD,4,38,13,23,2,9,,2.0,,,2,,3,,,7,,,,4,,,53 UFD,,4,,,38,,,13,,,23,,,2,,,9.0,,
NZL 216175,Sam Meech,123.0,72.0,12,7,2,2,1,1,17,8,39,21,1,12,12.0,,,7,,,,,2,,,2,,1,,,1,,17,,,8,,,39,,,21,,,1,,,12.0,,
GBR 211921,Nick Thompson,113.0,73.0,17,4,9,9,2,5,23,7,7,22,4,4,,17.0,,,4,,9,,,9,,,,,2,,,5,23,,,7,,,7,,,22,,,4,,,4.0,,
FRA 213932,Jean-Baptiste Bernaz,107.0,78.0,3,2,7,2,1,7,22,22,2,11,8,20,3.0,,,2,,,,7,,,2,,1,,,7,,,22,,,22,,,2,,,11,,,8,,,20.0,,
GBR 209134,Elliot Hanson,145.0,92.0,5,13,5,4,1,1,24,40,29,4,9,10,,,5.0,,,13,5,,,4,,,,,1,,,1,24,,,40,,,29,,,4,,,9,,,10.0,,
GBR 216159,Brando Lorenzo Chiavarini,152.0,92.0,5,6,12,14,15,7,16,6,12,7,45,7,,5.0,,,6,,,,12,,,14,,15,,,7,,16,,,6,,,12,,,7,,,45,,,7.0,,
GER 215517,Philipp Buhl,159.0,96.0,6,10,2,5,7,3,7,14,31,10,53 BFD,11,,,6.0,,,10,,2,,,5,,7,,,3,,,7,,,14,,,31,,,10,,,53 BFD,,,11.0,,
NZL 215081,Thomas Saunders,149.0,96.0,21,5,10,7,3,4,15,11,18,6,32,17,,,21.0,,,5,,10,,,7,,3,,,4,,,15,,,11,,,18,,,6,,,32,,,17.0,,
USA 206051,Charlie Buckingham,158.0,105.0,15,18,6,6,2,4,35,15,3,2,18,34,,15.0,,,18,,,6,,,6,,,2,,,4,,35,,,15,,,3,,,2,,,18,,,34.0,,
BRA 207711,Robert Scheidt,181.0,122.0,27,3,4,3,5,2,14,30,15,25,21,32,27.0,,,3,,,4,,,3,,,,,5,,,2,14,,,30,,,15,,,25,,,21,,,32.0,,
SWE 215344,Jesper Stalheim,166.0,125.0,8,3,3,1,8,8,22 SCP,27,28,12,33,13,,8.0,,,3,,,,3,,,1,,,8,,,8,22 SCP,,,27,,,28,,,12,,,33,,,13.0,,
ARG 213387,Francisco Rigonat Guaragna,183.0,129.0,6,17,15,15,14,17,3,3,20,37,17,19,6.0,,,17,,,,,15,,,15,14,,,17,,,3,,,3,,,20,,,37,,,17,,,19.0,,
CRO 212013,Tonci Stipanovic,195.0,133.0,4,4,1,8,13,10,49,45,35,9,15,2,,,4.0,,,4,,1,,,8,,13,,,10,,,49,,,45,,,35,,,9,,,15,,,2.0,,
KOR 210793,Jeemin Ha,183.0,134.0,16,12,2,1,4,3,27,21,33,29,29,6,16.0,,,12,,,2,,,1,,,,,4,,,3,27,,,21,,,33,,,29,,,29,,,6.0,,
RUS 213011,Sergei Komissarov,198.0,138.0,14,1,8,3,9,9,1,46,41,33,30,3,,14.0,,,1,,,,8,,,3,,9,,,9,,1,,,46,,,41,,,33,,,30,,,3.0,,
CYP 212431,Pavlos Kontides,246.0,140.0,18,53 BFD,4,9,6,7,53 UFD,34,10,15,22,15,,18.0,,,53 BFD,,,4,,,9,,,,6,,,7,53 UFD,,,34,,,10,,,15,,,22,,,15.0,,
FIN 214111,Kaarle Tapper,204.0,141.0,5,20,1,16,15,10,36,9,4,3,42,43,5.0,,,20,,,1,,,16,,,,,15,,,10,36,,,9,,,4,,,3,,,42,,,43.0,,
HUN 213095,Benjamin Vadnai,212.0,145.0,9,2,10,8,23,13,11,44,19,14,20,39,,,9.0,,,2,10,,,8,,,,23,,,13,,11,,,44,,,19,,,14,,,20,,,39.0,,
GBR 210139,Michael Beckett,239.0,149.0,37,53 BFD,1,5,6,5,26,26,32,20,12,16,,,37.0,,,53 BFD,,,1,,,5,6,,,5,,,26,,,26,,,32,,,20,,,12,,,16.0,,
GUA 211981,Ignacio Juan Maegli,236.0,152.0,7,7,53 BFD,6,11,11,30,29,9,26,16,31,,,7.0,,,7,53 BFD,,,6,,,11,,,11,,,30,,,29,,,9,,,26,,,16,,,31.0,,
EST 203724,Karl-Martin Rammo,218.0,155.0,14,16,16,10,15,2,18,42,47,17,13,8,14.0,,,16,,,,16,,,10,,15,,,2,,,18,,,42,,,47,,,17,,,13,,,8.0,,
CRO 216063,Filip Jurisic,225.0,159.0,1,3,17,12,9,6,9,37,8,34,49,40,,,1.0,,,3,,,17,,,12,9,,,6,,,9,,,37,,,8,,,34,,,49,,,40.0,,
BRA 203766,Bruno Fontes,233.0,160.0,30,26,7,15,3,6,32,43,42,18,10,1,30.0,,,26,,,7,,,15,,,,3,,,6,,32,,,43,,,42,,,18,,,10,,,1.0,,
SLO 214148,Luka Zan Zelko,217.0,164.0,20,17,11,19,17,11,10,23,22,31,3,33,,20.0,,,17,,11,,,19,,,,,17,,,11,10,,,23,,,22,,,31,,,3,,,33.0,,
PER 206115,Stefano Peschiera,236.0,173.0,9,25,14,5,21,19,29,10,21,8,37,38,,9.0,,,25,,14,,,5,,,21,,,19,,,29,,,10,,,21,,,8,,,37,,,38.0,,
GER 211432,Nik Willim,259.0,174.0,32,16,16,17,5,8,5,48,1,40,53 BFD,18,,32.0,,,16,,16,,,17,,,5,,,8,,,5,,,48,,,1,,,40,,,53 BFD,,,18.0,,
USA 210780,Christopher Barnard,246.0,177.0,8,6,22,14,12,21,37,33,14,5,27,47,8.0,,,6,,,,22,,,14,,,,12,,,21,37,,,33,,,14,,,5,,,27,,,47.0,,
SUI 210211,Eliot Merceron,265.0,187.0,2,28,13,9,18,18,34,13,50,32,34,14,,,2.0,,,28,,,13,,,9,18,,,18,,,34,,,13,,,50,,,32,,,34,,,14.0,,
HUN 213119,Jonatan Vadnai,260.0,189.0,35,5,17,11,7,23,13,35,17,35 SCP,26,36,,35.0,,,5,,17,,,11,,,,7,,,23,,13,,,35,,,17,,,35 SCP,,,26,,,36.0,,
ESP 211710,Joel Perez Rodriguez,261.0,195.0,19,14,13,21,21,6,44,28,6,16,28,45,,19.0,,,14,,,13,,,21,,,,21,,,6,44,,,28,,,6,,,16,,,28,,,45.0,,
NED 212650,Duko Bos,262.0,196.0,23,24,12,12,8,20,12,24,37,42,7,41,,23.0,,,24,,12,,,12,,,8,,,20,,,12,,,24,,,37,,,42,,,7,,,41.0,,
BEL 211121,Wannes Laer van,272.0,196.0,26,12,11,10,12,8,21,21 SCP,44,50,31,26,,26.0,,,12,,,,11,,,10,,12,,,8,,21,,,21 SCP,,,44,,,50,,,31,,,26.0,,
AUS 164180,Mitchell Kennedy,266.0,197.0,4,15,7,7,17,3,2,52,34,48,40,37,4.0,,,15,,,,,7,,,7,,17,,,3,,2,,,52,,,34,,,48,,,40,,,37.0,,
ESP 215311,Joaquin Albalat Blanco,262.0,199.0,9,22,11,4,7,9,40,19,38,41,38,24,9.0,,,22,,,,11,,,4,,,,7,,,9,40,,,19,,,38,,,41,,,38,,,24.0,,
BRA 191340,Pedro Joao Oliveira de Souto Herrlein,287.0,201.0,36,9,13,21,20,5,39,32,16,35,11,50,36.0,,,9,,,13,,,21,,,,20,,,5,,39,,,32,,,16,,,35,,,11,,,50.0,,
AUS 215612,Luke Elliott,302.0,201.0,29,13,53 BFD,10,12,16,48,31,25,30,5,30,,29.0,,,13,,53 BFD,,,10,,,12,,,16,,,48,,,31,,,25,,,30,,,5,,,30.0,,
USA 209071,Henry Marshall,284.0,202.0,1,19,6,25,20,35,45,12,11,28,47,35,1.0,,,19,,,6,,,25,,,20,,,35,,,45,,,12,,,11,,,28,,,47,,,35.0,,
IRL 210254,Finn Lynch,280.0,208.0,24,30,10,11,18,17,42,1,27,38,41,21,24.0,,,30,,,,,10,,,11,,18,,,17,,42,,,1,,,27,,,38,,,41,,,21.0,,
POR 202211,Eduardo Marques,295.0,217.0,34,25,8,20,10,11,28,20,43,44,24,28,34.0,,,25,,,8,,,20,,,,10,,,11,,28,,,20,,,43,,,44,,,24,,,28.0,,
NOR 201111,Hermann Tomasgaard,284.0,218.0,13,1,5,3,8,2,53 UFD,36,23,52,44,44,,,13.0,,,1,,5,,,3,,,8,,,2,,53 UFD,,,36,,,23,,,52,,,44,,,44.0,,
GBR 201481,Jack Wetherell,289.0,219.0,28,1,6,16,29,10,41,25,40,39,25,29,28.0,,,1,,,,,6,,,16,,29,,,10,,41,,,25,,,40,,,39,,,25,,,29.0,,
AUS 214418,Finn Alexander,333.0,227.0,12,53 BFD,14,19,4,14,20,41,24,43,36,53,,,12.0,,,53 BFD,,14,,,19,,4,,,14,,,20,,,41,,,24,,,43,,,36,,,53.0,,
ITA 194942,Marco Gallo,310.0,231.0,1,11,15,24,26,22,33,4,51,45,53 BFD,25,,1.0,,,11,,15,,,24,,,,26,,,22,,33,,,4,,,51,,,45,,,53 BFD,,,25.0,,
ITA 188983,Nicolò Villa,305.0,232.0,11,4,25,17,25,27,43,16,26,46,23,42,11.0,,,4,,,,,25,,,17,25,,,27,,,43,,,16,,,26,,,46,,,23,,,42.0,,
RUS 211929,Maxim Nikolaev,321.0,243.0,27,14,9,17,13,15,25,51,48,27,48,27,,,27.0,,,14,,9,,,17,,,13,,,15,,25,,,51,,,48,,,27,,,48,,,27.0,,
DEN 209257,Christian Rost Guldberg,334.0,248.0,6,9,27,22,36,16,50,50,36,24,35,23,,6.0,,,9,,27,,,22,,,,,36,,,16,50,,,50,,,36,,,24,,,35,,,23.0,,
POL 214117,Jakub Rodziewicz,335.0,256.0,30,10,9,18,23,15,47,17,49,49,19,49,,30.0,,,10,,,,9,,,18,,,23,,,15,47,,,17,,,49,,,49,,,19,,,49.0,,
CAN 211542,Robert Davis,337.0,263.0,12,28,5,8,25,12,38,39,45,36,43,46,,12.0,,,28,,,,5,,,8,,,25,,,12,38,,,39,,,45,,,36,,,43,,,46.0,,
IRL 210101,Ewan McMahon,374.0,268.0,3,53 BFD,17,22,14,13,31,49,53 UFD,51,46,22,,3.0,,,53 BFD,,,17,,,22,,,,14,,,13,31,,,49,,,53 UFD,,,51,,,46,,,22.0,,
ESA 180192,Enrique Arathoon,367.0,292.0,20,12,20,6,27,9,46,47,46,47,39,48,,,20.0,,,12,,,20,,,6,27,,,9,,,46,,,47,,,46,,,47,,,39,,,48.0,,
ITA 202261,Gianmarco Planchestainer,169.0,112.0,19,8,27,15,30,18,1,2,15,6,15,13,19.0,,,8,,,,27,,,15,,,,30,,,18,,1,,,2,,,15,,,6,,,15,,,13.0,
ISR 211955,Sagie Glantz,180.0,115.0,14,24,23,35,11,30,3,3,13,1,7,16,,,14.0,,,24,23,,,35,,,,,11,,,30,,3,,,3,,,13,,,1,,,7,,,16.0,
MAS 214989,Khairulnizam Afendy Mohd,237.0,154.0,17,53 BFD,24,30,19,22,25,7,6,8,9,17,,,17.0,,,53 BFD,,,24,,,30,19,,,22,,,,25,,,7,,,6,,,8,,,9,,,17.0,
FRA 211863,Maxime Mazard,259.0,162.0,44,18,12,53 UFD,6,30,19,19,2,7,5,44,44.0,,,18,,,,12,,,53 UFD,,,6,,,30,,,19,,,19,,,2,,,7,,,5,,,44.0,
JPN 215099,Kenji Nanri,246.0,163.0,46,8,32,11,9,24,13,28,37,24,13,1,,46.0,,,8,,,32,,,11,,,,9,,,24,,13,,,28,,,37,,,24,,,13,,,1.0,
POL 215951,Tadeusz Kubiak,254.0,172.0,7,27,21,22,10,29,53 BFD,33,1,37,11,3,,7.0,,,27,,,,21,,,22,,,10,,,29,,53 BFD,,,33,,,1,,,37,,,11,,,3.0,
SGP 215267,Ryan Lo,235.0,173.0,8,29,19,32,28,21,21,6,30,9,12,20,,,8.0,,,29,,19,,,32,,,28,,,21,,,21,,,6,,,30,,,9,,,12,,,20.0,
BEL 207173,William Smet De,267.0,174.0,40,34,53 BFD,2,18,32,6,30,7,14,20,11,40.0,,,34,,,53 BFD,,,2,,,,,18,,,32,,6,,,30,,,7,,,14,,,20,,,11.0,
NED 215438,Niels Broekhuizen,244.0,176.0,43,13,21,23,22,25,9,22,12,16,17,21,43.0,,,13,,,,21,,,23,,,,22,,,25,,9,,,22,,,12,,,16,,,17,,,21.0,
FRA 213604,Etienne Pen Le,267.0,181.0,7,32,30,18,13,33,16,10,5,42,53 BFD,8,7.0,,,32,,,,30,,,18,,,,13,,,33,,16,,,10,,,5,,,42,,,53 BFD,,,8.0,
THA 215070,Keerati Bualong,262.0,195.0,29,31,31,29,24,19,36,4,25,29,1,4,,,29.0,,,31,31,,,29,,,,24,,,19,,,36,,,4,,,25,,,29,,,1,,,4.0,
CZE 215495,Viktor Teply,284.0,198.0,28,53 BFD,8,27,19,31,18,24,33,26,2,15,,,28.0,,,53 BFD,,8,,,27,,,19,,,31,,,18,,,24,,,33,,,26,,,2,,,15.0,
ARG 211570,Agustin Incatasciato Vidal,280.0,198.0,40,19,20,29,35,42,20,13,10,22,4,26,,40.0,,,19,,,20,,,29,,35,,,42,,,,20,,,13,,,10,,,22,,,4,,,26.0,
CAN 214917,Hugh Macrae,269.0,198.0,10,23,22,34,37,17,14,17,18,15,32,30,,10.0,,,23,,22,,,34,,,,,37,,,17,,14,,,17,,,18,,,15,,,32,,,30.0,
CAN 214514,Luke Ruitenberg,280.0,199.0,37,11,26,29,36,27,44,18,3,19,3,27,37.0,,,11,,,,,26,,,29,,36,,,27,,,44,,,18,,,3,,,19,,,3,,,27.0,
ARG 213312,Pablo Juan Bisio,273.0,200.0,24,15,26,34,19,31,22,39,35,2,14,12,,24.0,,,15,,,26,,,34,,,,19,,,31,,22,,,39,,,35,,,2,,,14,,,12.0,
TTO 184116,Andrew Lewis,287.0,202.0,32,31,53 BFD,23,17,21,31,8,4,27,22,18,32.0,,,31,,,53 BFD,,,23,,,17,,,21,,,,31,,,8,,,4,,,27,,,22,,,18.0,
SWE 211276,Emil Bengtson,281.0,205.0,11,6,23,33,25,20,2,43,34,36,8,40,,,11.0,,,6,,23,,,33,,,25,,,20,,,2,,,43,,,34,,,36,,,8,,,40.0,
RUS 212777,Daniil Krutskikh,271.0,206.0,24,32,27,19,26,30,29,15,19,12,33,5,,,24.0,,,32,,,27,,,19,26,,,30,,,,29,,,15,,,19,,,12,,,33,,,5.0,
ITA 213174,Giacomo Musone,289.0,207.0,29,5,32,34,44,32,5,1,11,32,26,38,29.0,,,5,,,,,32,,,34,44,,,32,,,,5,,,1,,,11,,,32,,,26,,,38.0,
TUR 191719,Berkay Abay,285.0,208.0,25,38,28,24,31,28,15,20,21,39,6,10,25.0,,,38,,,,,28,,,24,31,,,28,,,,15,,,20,,,21,,,39,,,6,,,10.0,
NED 212968,Yuri Hummel,290.0,209.0,22,28,14,20,11,16,10,27,26,44,53 BFD,19,22.0,,,28,,,,,14,,,20,,11,,,16,,,10,,,27,,,26,,,44,,,53 BFD,,,19.0,
MEX 213173,Yanic Gentry,282.0,210.0,34,20,24,26,27,26,38,5,14,13,21,34,,,34.0,,,20,24,,,26,,,,27,,,26,,,38,,,5,,,14,,,13,,,21,,,34.0,
CHN 211513,Ning Zhao,300.0,211.0,36,21,15,13,5,28,4,40,48,5,53 RET,32,,36.0,,,21,,,15,,,13,,,5,,,28,,,4,,,40,,,48,,,5,,,53 RET,,,32.0,
CHI 199264,Clemente Seguel,312.0,213.0,11,26,46,16,35,53 UFD,12,46,31,18,16,2,,11.0,,,26,,,46,,,16,,,35,,,53 UFD,,,12,,,46,,,31,,,18,,,16,,,2.0,
TUR 207480,Alp Rodopman,307.6,213.6,41,8,31,38.6 DPI,24,12,17,16,17,28,53 RET,22,,,41.0,,,8,,31,,,38.6 DPI,,24,,,12,,,,17,,,16,,,17,,,28,,,53 RET,,,22.0,
